orgao,ano,mes,procinfo.cmd,status
tjpi,2021,2,"docker run -i -v dadosjusbr:/output --rm --env OUTPUT_FOLDER=""/output"" --env MONTH=""02"" --env YEAR=""2021"" --env COURT=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env GIT_COMMIT=""661905a772a017f326ae96c8abba46b68897341f"" parser-cnj",4
tjpi,2021,4,"docker run -i -v tjpi_2021:/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output --rm --env OUTPUT_FOLDER=""/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output"" --env MONTH=""04"" --env YEAR=""2021"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""30s"" --env TIME_BETWEEN_STEPS=""30s"" --env GENERAL_TIMEOUT=""10m"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2021,6,"docker run -i -v dadosjusbr:/output --rm --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/output"" --env MONTH=""06"" --env GIT_COMMIT=""f54907624087a93d8a88d28e68ef7c6abd273225"" --env YEAR=""2021"" --env COURT=""TJPI"" parser-cnj",4
tjpi,2021,10,"docker run -i -v tjpi_2021:/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output --rm --env AID=""TJPI"" --env MONTH=""10"" --env YEAR=""2021"" --env COURT=""TJPI"" --env OUTPUT_FOLDER=""/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output"" --env GIT_COMMIT=""a707d0aa94b3184818cba0fedfa3b481c1db8887"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" parser-cnj",4
tjrn,2021,10,"docker run -i -v coleta_tjrn_2021:/home/danielfireman/repos/dadosjusbr/cnj-exec/tjrn_2021/output --rm --env MONTH=""10"" --env YEAR=""2021"" --env COURT=""TJRN"" --env AID=""TJRN"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/danielfireman/repos/dadosjusbr/cnj-exec/tjrn_2021/output"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjrn,2021,11,"docker run -i -v coleta_tjrn_2021:/home/danielfireman/repos/dadosjusbr/cnj-exec/tjrn_2021/output --rm --env MONTH=""11"" --env YEAR=""2021"" --env COURT=""TJRN"" --env AID=""TJRN"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/danielfireman/repos/dadosjusbr/cnj-exec/tjrn_2021/output"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2021,3,"docker run -i -v tjpi_2021:/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output --rm --env AID=""TJPI"" --env OUTPUT_FOLDER=""/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output"" --env YEAR=""2021"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env GIT_COMMIT=""a707d0aa94b3184818cba0fedfa3b481c1db8887"" --env MONTH=""03"" --env COURT=""TJPI"" parser-cnj",4
tjpi,2021,5,"docker run -i -v tjpi_2021:/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output --rm --env MONTH=""05"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GIT_COMMIT=""a707d0aa94b3184818cba0fedfa3b481c1db8887"" --env GENERAL_TIMEOUT=""8m"" --env YEAR=""2021"" --env COURT=""TJPI"" --env AID=""TJPI"" --env OUTPUT_FOLDER=""/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output"" parser-cnj",4
tjpi,2021,7,"docker run -i -v tjpi_2021:/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output --rm --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""30s"" --env TIME_BETWEEN_STEPS=""30s"" --env GENERAL_TIMEOUT=""10m"" --env OUTPUT_FOLDER=""/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output"" --env MONTH=""07"" --env YEAR=""2021"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpr,2021,11,"docker run -i -v consolida_bkp_tjpr_2021:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpr_2021/output --rm --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpr_2021/output"" --env MONTH=""11"" --env YEAR=""2021"" --env COURT=""TJPR"" --env AID=""TJPR"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2021,11,"docker run -i -v tjpi_2021:/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output --rm --env OUTPUT_FOLDER=""/home/marcos/dadosjusbr/dadosjusbr-pexec/tjpi_2021/output"" --env MONTH=""11"" --env YEAR=""2021"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""30s"" --env TIME_BETWEEN_STEPS=""30s"" --env GENERAL_TIMEOUT=""10m"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjse,2020,1,"docker run -i -v coleta_tjse_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjse_2020/output --rm --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjse_2020/output"" --env MONTH=""01"" --env YEAR=""2020"" --env COURT=""TJSE"" --env AID=""TJSE"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2019,10,"docker run -i -v consolida_bkp_tjce_2019:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2019/output --rm --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2019/output"" --env MONTH=""10"" --env YEAR=""2019"" --env COURT=""TJCE"" --env AID=""TJCE"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2019,11,"docker run -i -v consolida_bkp_tjce_2019:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2019/output --rm --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2019/output"" --env MONTH=""11"" --env YEAR=""2019"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2021,1,"docker run -i -v consolida_bkp_tjce_2021:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output --rm --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output"" --env MONTH=""01"" --env YEAR=""2021"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2021,2,"docker run -i -v consolida_bkp_tjce_2021:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output --rm --env MONTH=""02"" --env YEAR=""2021"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2021,3,"docker run -i -v consolida_bkp_tjce_2021:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output --rm --env MONTH=""03"" --env YEAR=""2021"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2021,4,"docker run -i -v consolida_bkp_tjce_2021:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output --rm --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output"" --env MONTH=""04"" --env YEAR=""2021"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2021,5,"docker run -i -v consolida_bkp_tjce_2021:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output --rm --env YEAR=""2021"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output"" --env MONTH=""05"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2021,6,"docker run -i -v consolida_bkp_tjce_2021:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output --rm --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output"" --env MONTH=""06"" --env YEAR=""2021"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2020,6,"docker run -i -v consolida_bkp_tjce_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2020/output --rm --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2020/output"" --env MONTH=""06"" --env YEAR=""2020"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2020,7,"docker run -i -v consolida_bkp_tjce_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2020/output --rm --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2020/output"" --env MONTH=""07"" --env YEAR=""2020"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2021,7,"docker run -i -v consolida_bkp_tjce_2021:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output --rm --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output"" --env MONTH=""07"" --env YEAR=""2021"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2021,8,"docker run -i -v consolida_bkp_tjce_2021:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output --rm --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2021/output"" --env MONTH=""08"" --env YEAR=""2021"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2020,8,"docker run -i -v consolida_bkp_tjce_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2020/output --rm --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2020/output"" --env MONTH=""08"" --env YEAR=""2020"" --env COURT=""TJCE"" --env AID=""TJCE"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjce,2020,9,"docker run -i -v consolida_bkp_tjce_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2020/output --rm --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjce_2020/output"" --env MONTH=""09"" --env YEAR=""2020"" --env COURT=""TJCE"" --env AID=""TJCE"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" ghcr.io/dadosjusbr/parser-cnj:main",4
